source,target,value,mapping,assetgroep
ad4.begroeidTerreindeelPlantvak_v (4499),ad5.bosplantsoen_v (1884),1,FYSIEKVOORKOMEN_groenvoorziening_bosplantsoen,groen
ad4.ondersteunendWegdeel_v (34754),ad5.bosplantsoen_v (1884),1,FYSIEKVOORKOMEN_groenvoorziening_bosplantsoen,groen
ad4.begroeidTerreindeel_v (3887),ad5.bouwland_v (719),1,FYSIEKVOORKOMEN_bouwland_bouwland_bollenteelt_bouwland_akkerbouw_bouwland_vollegrondsteelt_bouwland_braakliggend,groen
ad4.put_p (1278),ad5.brandkraan_p (228),1,BGTPLUSTYPE_niet-bgt_brandkraan _ -put,bodem
ad4.straatmeubilair_p (6902),ad5.brievenbus_p (46),1,TYPESPEC_Brievenbus,wegkantsystemen
ad4.vtaInspectie_tbl (196319),ad5.bvc_inspectie_tbl (196319),1,x_x,groen
ad4.kast_p (2249),ad5.cai_kast_p (95),1,TYPESPEC_CAI,ovl/vri
ad4.sensor_p (2001),ad5.camera_p (674),1,TYPESPEC_Detectie_ camera overig_ObservatieCamera_Straatmeubilair_ camera,ovl/vri
ad4.elektriciteitskabel_l (34538),ad5.combikabel_l (8),1,TYPESPEC_ADD,bodem
ad4.telecommunicatiekabel_l (536),ad5.combikabel_l (8),1,TYPESPEC_ADD,bodem
ad4.kunstwerkdeel_v (3773),ad5.coupure_v (2),1,BGTPLUSTYPE_niet-bgt_coupure,kunstwerken
ad4.crowInspectie_tbl (76),ad5.crowinspectie_tbl (76),1,x_x,wegen
ad4.crowInspectieresultaat_tbl (263541),ad5.crowinspectieresultaat_tbl (263589),1,x_x,wegen
ad4.crowMeting_tbl (184511),ad5.crowmeting_tbl (184557),1,x_x,wegen
ad4.scheidingWater_l (11359),ad5.damwand_l (4365),1,BGTPLUSTYPE_damwand,vaarwegen
ad4.telecommunicatiekabel_l (536),ad5.datakabel_l (1396),1,TYPESPEC_DAT,bodem
