source,target,value,mapping,assetgroep
ad4.kunstwerkdeel_l (2533),ad5.duiker_l (2237),1,BGTPLUSTYPE_niet-bgt_ niet-bgt_duiker,kunstwerken
ad4.kunstwerkdeel_l (2533),ad5.kunstwerkdeel_l (1),1,BGTPLUSTYPE_niet-bgt,kunstwerken
ad4.kunstwerkdeel_l (2533),ad5.stuw_l (297),1,BGTPLUSTYPE_stuw,kunstwerken
ad4.kunstwerkdeel_mp (10),ad5.hoogspanningsmast_mp (10),1,BGTPLUSTYPE_hoogspanningsmast,kunstwerken
ad4.kunstwerkdeel_v (3786),ad5.stuw_v (256),1,BGTPLUSTYPE_stuw,kunstwerken
ad4.kunstwerkdeel_v (3786),ad5.muur_v (3846),1,RELATIEVEHOOGTELIGGING_0_1_2,kunstwerken
ad4.kunstwerkdeel_v (3786),ad5.duiker_v (1579),1,BGTPLUSTYPE_niet-bgt_duiker,kunstwerken
ad4.kunstwerkdeel_v (3786),ad5.perron_v (444),1,BGTPLUSTYPE_perron,wegen
ad4.kunstwerkdeel_v (3786),ad5.sluisdeur_v (58),1,BGTPLUSTYPE_sluis,kunstwerken
ad4.kunstwerkdeel_v (3786),ad5.voorde_v (2),1,BGTPLUSTYPE_niet-bgt_voorde,kunstwerken
ad4.kunstwerkdeel_v (3786),ad5.ponton_v (1),1,BGTPLUSTYPE_niet-bgt_ponton,kunstwerken
ad4.kunstwerkdeel_v (3786),ad5.gemaal_v (127),1,BGTPLUSTYPE_gemaal,kunstwerken
ad4.kunstwerkdeel_v (3786),ad5.hoogspanningsmast_v (3),1,BGTPLUSTYPE_hoogspanningsmast,kunstwerken
ad4.kunstwerkdeel_v (3786),ad5.muur_v (3846),1,BGTPLUSTYPE_niet-bgt_keermuur,kunstwerken
ad4.kunstwerkdeel_v (3786),ad5.tunnelwand_v (264),1,BGTPLUSTYPE_niet-bgt_keermuur,kunstwerken
ad4.kunstwerkdeel_v (3786),ad5.coupure_v (2),1,BGTPLUSTYPE_niet-bgt_coupure,kunstwerken
ad4.kunstwerkdeel_v (3786),ad5.kunstwerkdeel_v (0),1,BGTPLUSTYPE_niet-bgt,kunstwerken
ad4.kunstwerkdeel_v (3786),ad5.faunavoorziening_v (53),1,BGTPLUSTYPE_niet-bgt_faunavoorziening,groen
ad4.kunstwerkdeel_v (3786),ad5.steiger_v (1694),1,BGTPLUSTYPE_steiger,kunstwerken
ad4.kwElement_tbl (10587),ad5.neninspectie_tbl (95278),1,x_x,kunstwerken
ad4.kwElement_tbl (10587),ad5.kunstwerkelement_tbl (10587),1,x_x,kunstwerken
ad4.lamp_p (12550),ad5.lichtbron_p (12550),1,x_x,ovl/vri
ad4.lantaarn_p (7554),ad5.verkeerslantaarn_p (7554),1,x_x,ovl/vri
ad4.leidingelement_p (26174),ad5.rioolput_p (4821),1,TYPESPEC_Inspectieput,bodem
ad4.leidingelement_p (26174),ad5.rioolafsluiter_p (8),1,TYPESPEC_cleanOut,bodem
ad4.leidingelement_p (26174),ad5.aardelektrode_p (128),1,TYPESPEC_aarding,bodem
ad4.leidingelement_p (26174),ad5.drainageput_p (41),1,TYPESPEC_Drainageput,bodem
ad4.leidingelement_p (26174),ad5.kolk_p (16171),1,TYPESPEC_Kolk_RWS kolk_Straatkolk_Trottoirkolk_Rioolleidingelement_ onbekend,bodem
ad4.leidingelement_p (26174),ad5.aansluitput_p (3),1,TYPESPEC_Zandvang,bodem
ad4.leidingelement_p (26174),ad5.verbindingsstuk_p (6024),1,TYPESPEC_DEM_mof,bodem
ad4.ligplaatsstrook_v (38),ad5.ligplaatsstrook_v (38),1,x_x,vaarwegen
ad4.mantelbuis_v (10068),ad5.mantelbuis_v (10068),1,x_x,bodem
ad4.mast_p (3),ad5.paal_p (51299),1,BGTPLUSTYPE_niet-bgt_laagspanningsmast,wegkantsystemen
ad4.oevervak_v (6921),ad5.oeverzone_v (6921),1,x_x,vaarwegen
ad4.onbegroeidTerreindeelKruin_l (111),ad5.profiellijn_l (3604),1,x_x,wegen
ad4.onbegroeidTerreindeel_v (10700),ad5.onverhard_v (1619),1,FYSIEKVOORKOMEN_onverhard_onverhard_boomschors_onverhard_zand,wegen
ad4.onbegroeidTerreindeel_v (10700),ad5.elementenverharding_v (27327),1,FYSIEKVOORKOMEN_open verharding_open verharding_beton element_open verharding_betonstraatstenen_open verharding_gebakken klinkers_open verharding_sierbestrating_open verharding_tegels_half verhard_grasklinkers,wegen
ad4.onbegroeidTerreindeel_v (10700),ad5.halfverharding_v (1899),1,FYSIEKVOORKOMEN_half verhard_half verhard_gravel_half verhard_grind_half verhard_puin_half verhard_schelpen,wegen
ad4.onbegroeidTerreindeel_v (10700),ad5.asfaltverharding_v (40065),1,FYSIEKVOORKOMEN_gesloten verharding_asfalt,wegen
ad4.onbegroeidTerreindeel_v (10700),ad5.betonverharding_v (4269),1,FYSIEKVOORKOMEN_gesloten verharding_cementbeton,wegen
ad4.onbegroeidTerreindeel_v (10700),ad5.kunststofverharding_v (26),1,FYSIEKVOORKOMEN_gesloten verharding_kunststof,wegen
ad4.onbegroeidTerreindeel_v (10700),ad5.zandvlakte_v (69),1,FYSIEKVOORKOMEN_zand_zand_zandverstuiving_zand_strand en strandwal,groen
ad4.onbegroeidTerreindeel_v (10700),ad5.verharding_v (7842),1,FYSIEKVOORKOMEN_gesloten verharding_Erf,wegen
ad4.ondersteunendWaterdeel_v (14592),ad5.oever_of_slootkant_v (14593),1,BGTPLUSTYPE_oever_ slootkant,vaarwegen
ad4.ondersteunendWaterdeel_v (14592),ad5.getijdengebied_v (0),1,BGTPLUSTYPE_slik,vaarwegen
ad4.ondersteunendWegdeelKruin_l (2205),ad5.profiellijn_l (3604),1,x_x,wegen
ad4.ondersteunendWegdeel_v (34764),ad5.bosplantsoen_v (1884),1,FYSIEKVOORKOMEN_groenvoorziening_bosplantsoen,groen
ad4.ondersteunendWegdeel_v (34764),ad5.betonverharding_v (4269),1,FYSIEKVOORKOMEN_gesloten verharding_cementbeton,wegen
ad4.ondersteunendWegdeel_v (34764),ad5.struiken_v (1064),1,FYSIEKVOORKOMEN_groenvoorziening_bodembedekkers_groenvoorziening_heesters_groenvoorziening_struikrozen,groen
ad4.ondersteunendWegdeel_v (34764),ad5.asfaltverharding_v (40065),1,FYSIEKVOORKOMEN_gesloten verharding_asfalt,wegen
ad4.ondersteunendWegdeel_v (34764),ad5.onverhard_v (1619),1,FYSIEKVOORKOMEN_onverhard_onverhard_boomschors_onverhard_zand,wegen
ad4.ondersteunendWegdeel_v (34764),ad5.planten_v (720),1,FYSIEKVOORKOMEN_groenvoorziening_planten,groen
ad4.ondersteunendWegdeel_v (34764),ad5.gras_en_kruidachtigen_v (37094),1,FYSIEKVOORKOMEN_groenvoorziening_gras- en kruidachtigen,groen
ad4.ondersteunendWegdeel_v (34764),ad5.groenobject_v (4441),1,FYSIEKVOORKOMEN_groenvoorziening,groen
ad4.ondersteunendWegdeel_v (34764),ad5.verharding_v (7842),1,FYSIEKVOORKOMEN_gesloten verharding,wegen
ad4.ondersteunendWegdeel_v (34764),ad5.halfverharding_v (1899),1,FYSIEKVOORKOMEN_half verhard_half verhard_gravel_half verhard_grind_half verhard_puin_half verhard_schelpen,wegen
ad4.ondersteunendWegdeel_v (34764),ad5.elementenverharding_v (27327),1,FYSIEKVOORKOMEN_open verharding_open verharding_beton element_open verharding_betonstraatstenen_open verharding_gebakken klinkers_open verharding_sierbestrating_open verharding_tegels_half verhard_grasklinkers,wegen
ad4.overbruggingsdeel_v (2930),ad5.sloof_v (49),1,TYPEOVERBRUGGINGSDEEL_sloof,kunstwerken
ad4.overbruggingsdeel_v (2930),ad5.pyloon_v (28),1,TYPEOVERBRUGGINGSDEEL_pyloon,kunstwerken
ad4.overbruggingsdeel_v (2930),ad5.pijler_v (1041),1,TYPEOVERBRUGGINGSDEEL_pijler,kunstwerken
ad4.overbruggingsdeel_v (2930),ad5.landhoofd_v (501),1,TYPEOVERBRUGGINGSDEEL_landhoofd,kunstwerken
ad4.overbruggingsdeel_v (2930),ad5.dek_v (1022),1,TYPEOVERBRUGGINGSDEEL_dek,kunstwerken
ad4.overbruggingsdeel_v (2930),ad5.overbruggingsdeel_v (289),1,TYPEOVERBRUGGINGSDEEL_Null,kunstwerken
ad4.overigBouwwerk_v (840),ad5.gebouw_v (5709),1,BGTPLUSTYPE_niet-bgt_bunker_niet-bgt_schuur_lage trafo,integraal
ad4.overigBouwwerk_v (840),ad5.dok_v (18),1,BGTPLUSTYPE_bassin,vaarwegen
ad4.overigBouwwerk_v (840),ad5.bergbezinkbassin_v (3),1,BGTPLUSTYPE_bezinkbak,vaarwegen
ad4.overigBouwwerk_v (840),ad5.opslagtank_v (24),1,BGTPLUSTYPE_opslagtank,wegen
ad4.overigBouwwerk_v (840),ad5.overkapping_v (356),1,BGTPLUSTYPE_overkapping,wegen
ad4.overigBouwwerk_v (840),ad5.open_loods_v (36),1,BGTPLUSTYPE_open loods,wegen
ad4.overigBouwwerk_v (840),ad5.windturbine_v (1),1,BGTPLUSTYPE_windturbine,wegkantsystemen
ad4.overigBouwwerk_v (840),ad5.overigbouwwerk_v (35),1,BGTPLUSTYPE_niet-bgt,wegen
ad4.paalAfbakening_p (34237),ad5.afsluitpaal_p (2153),1,TYPESPEC_Afsluiter_schamppaal,wegkantsystemen
ad4.paalAfbakening_p (34237),ad5.paal_p (51299),1,TYPESPEC_Paal,wegkantsystemen
ad4.paalAfbakening_p (34237),ad5.scheepvaartbord_p (3453),1,TYPESPEC_hectometerbord_scheepvaart,wegkantsystemen
ad4.paalAfbakening_p (34237),ad5.telpaal_p (12),1,TYPESPEC_Telpaal,wegkantsystemen
ad4.paalAfbakening_p (34237),ad5.poller_p (19),1,TYPESPEC_Poller,wegkantsystemen
ad4.paalAfbakening_p (34237),ad5.verkeersbord_p (64047),1,TYPESPEC_Hectometerpaal_Bermplank,wegkantsystemen
ad4.paalAfbakening_p (34237),ad5.vlaggenmast_p (47),1,TYPESPEC_Vlaggenmast,wegkantsystemen
ad4.paalAfbakening_p (34237),ad5.markeringspaal_p (61),1,TYPESPEC_dijkpaal_grensmarkering,wegkantsystemen
ad4.paalDraagconstructie_p (50657),ad5.telpaal_p (12),1,BGTPLUSTYPE_niet-bgt_telpaal,wegkantsystemen
ad4.paalDraagconstructie_p (50657),ad5.verkeersbord_p (64047),1,BGTPLUSTYPE_niet-bgt_hectometerpaal,wegkantsystemen
ad4.paalDraagconstructie_p (50657),ad5.poller_p (19),1,BGTPLUSTYPE_niet-bgt_poller,wegkantsystemen
ad4.paalDraagconstructie_p (50657),ad5.sirene_p (1),1,BGTPLUSTYPE_niet-bgt_sirene,ovl/vri
ad4.paalDraagconstructie_p (50657),ad5.afsluitpaal_p (2153),1,BGTPLUSTYPE_niet-bgt_afsluitpaal,wegkantsystemen
ad4.paalDraagconstructie_p (50657),ad5.vlaggenmast_p (47),1,BGTPLUSTYPE_niet-bgt_vlaggenmast,wegkantsystemen
ad4.paalDraagconstructie_p (50657),ad5.meldpaal_p (359),1,BGTPLUSTYPE_niet-bgt_drukknoppaal_niet-bgt_praatpaal,ovl/vri
ad4.paalDraagconstructie_p (50657),ad5.paal_p (51299),1,BGTPLUSTYPE_niet-bgt_haltepaal_niet-bgt_lichtmast_niet-bgt_verkeersbordpaal_niet-bgt_verkeersregelinstallatiepaal_niet-bgt_portaal_niet-bgt,wegkantsystemen
ad4.paalDraagconstructie_p (50657),ad5.markeringspaal_p (61),1,BGTPLUSTYPE_niet-bgt_dijkpaal,wegkantsystemen
ad4.pandHuisnummerreeks_t (1982),ad5.pand_huisnummerreeks_t (0),1,x_x,integraal
ad4.pand_v (5342),ad5.gebouw_v (5709),1,x_x,integraal
ad4.peilbuis_p (666),ad5.peilbuis_p (666),1,x_x,bodem
ad4.perron_v (442),ad5.perron_v (444),1,x_x,wegen
ad4.plaaginvasiesoortInspectie_p (151),ad5.plantensoortlocatie_p (151),1,x_x,groen
ad4.put_p (1278),ad5.brandkraan_p (228),1,BGTPLUSTYPE_niet-bgt_brandkraan _ -put,bodem
ad4.put_p (1278),ad5.gasput_p (12),1,BGTPLUSTYPE_niet-bgt_gasput,bodem
ad4.put_p (1278),ad5.waterleidingput_p (16),1,BGTPLUSTYPE_niet-bgt_waterleidingput,bodem
ad4.put_p (1278),ad5.rioolput_p (4821),1,BGTPLUSTYPE_niet-bgt_inspectie- _ rioolput,bodem
ad4.put_p (1278),ad5.kolk_p (16171),1,BGTPLUSTYPE_niet-bgt_kolk,bodem
ad4.scheidingGeleidewand_l (307),ad5.faunameubilair_l (329),1,x_x,groen
ad4.scheidingGeluidsscherm_l (483),ad5.geluidsscherm_l (483),1,x_x,wegkantsystemen
ad4.scheidingLand_l (12400),ad5.muur_l (764),1,BGTPLUSTYPE_muur,kunstwerken
ad4.scheidingLand_l (12400),ad5.hek_l (11636),1,BGTPLUSTYPE_hek_niet-bgt_draadraster_niet-bgt,wegkantsystemen
ad4.scheidingWater_l (11356),ad5.kademuur_l (293),1,BGTPLUSTYPE_kademuur,vaarwegen
ad4.scheidingWater_l (11356),ad5.beschoeiing_l (6699),1,BGTPLUSTYPE_walbescherming,vaarwegen
ad4.scheidingWater_l (11356),ad5.damwand_l (4364),1,BGTPLUSTYPE_damwand,vaarwegen
ad4.scheiding_v (5048),ad5.tunnelwand_v (264),1,RELATIEVEHOOGTELIGGING_-1,kunstwerken
ad4.scheiding_v (5048),ad5.muur_v (3846),1,BGTPLUSTYPE_muur,kunstwerken
ad4.scheiding_v (5048),ad5.kademuur_v (947),1,BGTPLUSTYPE_kademuur,vaarwegen
ad4.scheiding_v (5048),ad5.tunnelwand_v (264),1,BGTPLUSTYPE_muur,kunstwerken
ad4.scheiding_v (5048),ad5.muur_v (3846),1,RELATIEVEHOOGTELIGGING_0_1_2,kunstwerken
ad4.scheiding_v (5048),ad5.tunnelwand_v (264),1,RELATIEVEHOOGTELIGGING_-1,kunstwerken
ad4.sensor_l (11571),ad5.detector_l (11571),1,x_x,ovl/vri
ad4.sensor_p (1996),ad5.weerstation_p (4),1,TYPESPEC_Weerstation,wegkantsystemen
ad4.sensor_p (1996),ad5.windmeter_p (17),1,TYPESPEC_Windmeter,wegkantsystemen
ad4.sensor_p (1996),ad5.gms_sensor_p (150),1,TYPESPEC_GMS-sensor geleiding_GMS-sensor temperatuur,ovl/vri
ad4.sensor_p (1996),ad5.handhavingssysteem_p (20),1,TYPESPEC_Detectie_ flitspaal,ovl/vri
