source,target,value,mapping,assetgroep
ad4.put_p (1278),ad5.kolk_p (16171),1,BGTPLUSTYPE_niet-bgt_kolk,wegen
ad4.kruispunt_p (808),ad5.kruispunt_p (808),1,x_x,algemeen
ad4.straatmeubilair_p (6902),ad5.kunstobject_p (4),1,TYPESPEC_kunstobject,wegen
ad4.onbegroeidTerreindeel_v (10729),ad5.kunststofverharding_v (26),1,FYSIEKVOORKOMEN_gesloten verharding_kunststof,wegen
ad4.bouwdeelGeluidsscherm_tbl (2049),ad5.kunstwerkbouwdeel_tbl (28621),1,x_x,kunstwerken
ad4.bouwdeelKunstwerk_tbl (26572),ad5.kunstwerkbouwdeel_tbl (28621),1,x_x,kunstwerken
ad4.kunstwerkdeel_l (2534),ad5.kunstwerkdeel_l (0),1,BGTPLUSTYPE_niet-bgt,kunstwerken
ad4.kunstwerkdeel_v (3794),ad5.kunstwerkdeel_v (0),1,BGTPLUSTYPE_niet-bgt,kunstwerken
ad4.kunstwerkdeel_v (3794),ad5.kunstwerkdeel_v (0),1,TYPESPEC_Overig,kunstwerken
ad4.kunstwerkdeeL_v (3794),ad5.kwelscherm_v (0),1,BGTPLUSTYPE_niet-bgt,kunstwerken
ad4.kunstwerkdeeL_v (3794),ad5.kwelscherm_v (0),1,TYPESPEC_Kwelscherm,kunstwerken
ad4.kwElement_tbl (10591),ad5.kunstwerkelement_tbl (10591),1,x_x,kunstwerken
ad4.overbruggingsdeel_v (2944),ad5.landhoofd_v (503),1,TYPEOVERBRUGGINGSDEEL_landhoofd,kunstwerken
ad4.lamp_p (12569),ad5.lichtbron_p (12569),1,x_x,elektrotechniek
ad4.sensor_p (1996),ad5.lichtsensor_p (85),1,TYPESPEC_Schemerschakelaar,elektrotechniek
ad4.ligplaatsstrook_v (38),ad5.ligplaatsstrook_v (38),1,x_x,vaarwegen
ad4.weginrichtingselement_l (8273),ad5.lijngoot_l (20),1,TYPESPEC_Lijnafwatering,wegen
ad4.straatmeubilair_p (6902),ad5.luidspreker_p (206),1,TYPESPEC_Luidspreker,elektrotechniek
ad4.gebouwInstallatie_v (6),ad5.luifel_v (3),1,BGTPLUSTYPE_niet-bgt_luifel,kunstwerken
ad4.mantelbuis_v (10068),ad5.mantelbuis_v (10068),1,x_x,elektrotechniek
ad4.paalAfbakening_p (34233),ad5.markeringspaal_p (61),1,TYPESPEC_dijkpaal_grensmarkering,groen
ad4.paalDraagconstructie_p (50708),ad5.markeringspaal_p (61),1,BGTPLUSTYPE_niet-bgt_dijkpaal,groen
ad4.waterinrichtingselement_p (2466),ad5.meerpaal_p (2303),1,TYPESPEC_Dukdalf_Meerpaal,vaarwegen
ad4.paalDraagconstructie_p (50708),ad5.meldpaal_p (359),1,BGTPLUSTYPE_niet-bgt_drukknoppaal_niet-bgt_praatpaal,elektrotechniek
ad4.begroeidTerreindeel_v (3880),ad5.moeras_v (6),1,FYSIEKVOORKOMEN_moeras,groen
ad4.weginrichtingselement_l (8273),ad5.molgoot_l (696),1,TYPESPEC_Molgoot,wegen
ad4.scheidingLand_l (12415),ad5.muur_l (759),1,BGTPLUSTYPE_muur,kunstwerken
ad4.kunstwerkdeel_v (3794),ad5.muur_v (3856),1,BGTPLUSTYPE_niet-bgt_keermuur,kunstwerken
ad4.kunstwerkdeel_v (3794),ad5.muur_v (3856),1,RELATIEVEHOOGTELIGGING_0_1_2,kunstwerken
ad4.scheiding_v (5061),ad5.muur_v (3856),1,BGTPLUSTYPE_muur,kunstwerken
