source,target,value,mapping,assetgroep
ad4.sensor_p (2001),ad5.rateltikker_p (0),1,TYPESPEC_Rateltikker,Overig
ad4.bord_p (36860),ad5.reclamebord_p (0),1,BGTPLUSTYPE_niet-bgt_reclamebord,Overig
ad4.waterinrichtingselement_l (718),ad5.remmingswerk_l (0),1,BGTPLUSTYPE_niet-bgt_remmingswerk,Overig
ad4.begroeidTerreindeelPlantvak_v (4499),ad5.rietland_v (0),1,FYSIEKVOORKOMEN_rietland,Overig
ad4.weginrichtingselement_l (8250),ad5.rijstrookscheiding_l (0),1,TYPESPEC_VRBS,Overig
ad4.leidingelement_p (26119),ad5.rioolafsluiter_p (0),1,TYPESPEC_cleanOut,Overig
ad4.put_p (1278),ad5.rioolput_p (0),1,BGTPLUSTYPE_niet-bgt_inspectie- _ rioolput,Overig
ad4.leidingelement_p (26119),ad5.rioolput_p (0),1,TYPESPEC_Inspectieput,Overig
ad4.straatmeubilair_p (6902),ad5.rookpaal_p (0),1,TYPESPEC_Peukenpaal,Overig
ad4.weginrichtingselement_v (46),ad5.rooster_v (0),1,TYPESPEC_Wildrooster_Rooster,Overig
ad4.bordScheepvaart_p (1662),ad5.scheepvaartbord_p (0),1,TYPESPEC_BPR bord_Route verwijsbord,Overig
ad4.paalAfbakening_p (34245),ad5.scheepvaartbord_p (0),1,TYPESPEC_hectometerbord_scheepvaart,Overig
ad4.paalDraagconstructie_p (50695),ad5.sirene_p (0),1,BGTPLUSTYPE_niet-bgt_sirene,Overig
ad4.straatmeubilair_p (6902),ad5.slagboominstallatie_p (0),1,TYPESPEC_Slagboom,Overig
ad4.kast_p (2249),ad5.slagboominstallatie_p (0),1,TYPESPEC_Slagboomkast,Overig
ad4.overbruggingsdeel_v (2909),ad5.sloof_v (0),1,TYPEOVERBRUGGINGSDEEL_sloof,Overig
ad4.kunstwerk_p (869),ad5.sluiscomplex_p (0),1,NENBEHEEROBJECT_Schutsluizen,Overig
ad4.kunstwerkdeel_v (3773),ad5.sluisdeur_v (0),1,BGTPLUSTYPE_sluis,Overig
ad4.kunstwerkdeel_v (3773),ad5.steiger_v (0),1,BGTPLUSTYPE_steiger,Overig
ad4.begroeidTerreindeelPlantvak_v (4499),ad5.struiken_v (0),1,FYSIEKVOORKOMEN_groenvoorziening_bodembedekkers_groenvoorziening_heesters_groenvoorziening_struikrozen_struiken,Overig
ad4.ondersteunendWegdeel_v (34754),ad5.struiken_v (0),1,FYSIEKVOORKOMEN_groenvoorziening_bodembedekkers_groenvoorziening_heesters_groenvoorziening_struikrozen,Overig
ad4.kunstwerkdeel_l (2556),ad5.stuw_l (0),1,BGTPLUSTYPE_stuw,Overig
ad4.kunstwerkdeel_v (3773),ad5.stuw_v (0),1,BGTPLUSTYPE_stuw,Overig
ad4.straatmeubilair_p (6902),ad5.tafel_p (0),1,TYPESPEC_Picknick tafel,Overig
ad4.kastDRIS_p (5),ad5.telecomkast_p (0),1,x_x,Overig
ad4.kast_p (2249),ad5.telecomkast_p (0),1,TYPESPEC_Schakelkast PTT,Overig
ad4.kast_p (2249),ad5.telkast_p (0),1,TYPESPEC_Telkast_ onbekend,Overig
ad4.paalDraagconstructie_p (50695),ad5.telpaal_p (0),1,BGTPLUSTYPE_niet-bgt_telpaal,Overig
ad4.paalAfbakening_p (34245),ad5.telpaal_p (0),1,TYPESPEC_Telpaal,Overig
ad4.theorHectometrering_p (18251),ad5.theoretische_hectometrering_p (0),1,x_x,Overig
ad4.gebouwInstallatie_v (6),ad5.toegangstrap_v (0),1,BGTPLUSTYPE_niet-bgt_toegangstrap,Overig
